Change,Year
5.67,2050
-7.18,2050
-1.98,2050
-1.98,2050
5.67,2050
-2.38,2050
3.19,2050
-1.98,2050
-1.98,2050
-0.22,2050
6.10,2050
-0.22,2050
-1.59,2050
-0.81,2050
-7.18,2050
-0.81,2050
-4.76,2050
-7.18,2050
9.28,2050
-10.94,2050
-0.81,2050
-10.94,2050
-1.59,2050
-0.22,2050
-1.98,2050
-1.98,2050
-7.18,2050
-1.98,2050
-7.18,2050
-7.18,2050
-7.18,2050
9.28,2050
-1.98,2050
-1.59,2050
-1.98,2050
-7.18,2050
9.28,2050
-2.38,2050
9.28,2050
0.00,2050
-0.22,2050
-1.98,2050
-1.98,2050
-0.22,2050
-0.22,2050
-0.22,2050
-7.18,2050
-7.18,2050
-1.97,2050
4.88,2050
-4.76,2050
-4.76,2050
9.28,2050
-1.59,2050
9.28,2050
-2.38,2050
-0.22,2050
1.77,2050
-4.76,2050
0.93,2050
-4.07,2050
1.77,2050
1.77,2050
-4.76,2050
7.36,2050
5.67,2050
-7.18,2050
-4.76,2050
-4.76,2050
-1.98,2050
-4.76,2050
-7.18,2050
9.28,2050
9.28,2050
-1.98,2050
-1.98,2050
4.88,2050
-1.98,2050
-1.98,2050
-7.05,2050
-7.18,2050
6.10,2050
-1.98,2050
-1.98,2050
9.58,2050
-1.98,2050
9.58,2050
9.28,2050
8.58,2050
-0.22,2050
-1.98,2050
-7.38,2050
-7.18,2050
-4.76,2050
-7.93,2050
-10.94,2050
4.88,2050
-0.22,2050
-0.22,2050
4.88,2050
-7.18,2050
9.28,2050
-0.81,2050
-4.76,2050
-7.18,2050
-4.56,2050
-1.98,2050
-4.76,2050
-2.38,2050
-1.98,2050
-7.18,2050
-7.18,2050
-1.98,2050
-2.38,2050
9.28,2050
9.58,2050
-1.98,2050
-10.94,2050
-1.98,2050
-7.18,2050
9.28,2050
-4.76,2050
6.10,2050
7.36,2050
-1.98,2050
4.23,2050
-1.98,2050
-0.22,2050
-1.98,2050
7.36,2050
7.36,2050
-1.98,2050
-0.38,2050
-4.76,2050
9.28,2050
-0.37,2050
11.30,2050
7.36,2050
-0.22,2050
5.67,2050
-1.98,2050
-4.76,2050
-4.07,2050
-4.07,2050
-4.07,2050
-13.58,2080
1.45,2080
7.48,2080
-20.10,2080
-20.10,2080
0.02,2080
5.79,2080
-0.44,2080
7.48,2080
5.79,2080
9.37,2080
-7.92,2080
7.48,2080
11.06,2080
-14.52,2080
2.61,2080
0.02,2080
-3.83,2080
-14.52,2080
11.06,2080
2.61,2080
-3.83,2080
-14.52,2080
-14.52,2080
2.61,2080
-8.94,2080
1.45,2080
-14.52,2080
-14.52,2080
-1.52,2080
-0.87,2080
-1.52,2080
-20.10,2080
11.06,2080
-3.83,2080
11.06,2080
-13.58,2080
-3.83,2080
7.48,2080
-5.65,2080
11.06,2080
-5.65,2080
-20.10,2080
-1.52,2080
-14.52,2080
-14.52,2080
-3.83,2080
-14.52,2080
-3.83,2080
-3.83,2080
-3.83,2080
7.48,2080
-14.52,2080
-20.10,2080
-14.52,2080
-3.83,2080
7.48,2080
-8.94,2080
7.48,2080
0.00,2080
-1.52,2080
-14.52,2080
-14.52,2080
-1.52,2080
-1.52,2080
-1.52,2080
-3.83,2080
-3.83,2080
-2.44,2080
1.14,2080
-13.58,2080
-13.58,2080
7.48,2080
-20.10,2080
7.48,2080
-8.94,2080
-1.52,2080
-4.16,2080
-13.58,2080
13.68,2080
-17.41,2080
-4.16,2080
-4.16,2080
-13.58,2080
5.79,2080
2.61,2080
-3.83,2080
-13.58,2080
-13.58,2080
-14.52,2080
-13.58,2080
-3.83,2080
7.48,2080
7.48,2080
-14.52,2080
-14.52,2080
1.14,2080
-14.52,2080
-14.52,2080
-17.14,2080
-3.83,2080
-0.87,2080
-14.52,2080
-14.52,2080
9.37,2080
-14.52,2080
9.37,2080
7.48,2080
14.24,2080
-1.52,2080
-14.52,2080
-13.94,2080
-3.83,2080
-13.58,2080
-7.05,2080
-5.65,2080
1.14,2080
-1.52,2080
-1.52,2080
1.14,2080
-3.83,2080
7.48,2080
11.06,2080
-13.58,2080
-3.83,2080
-5.07,2080
-14.52,2080
-13.58,2080
-8.94,2080
-14.52,2080
-3.83,2080
-3.83,2080
-14.52,2080
-8.94,2080
7.48,2080
9.37,2080
-14.52,2080
-5.65,2080
-14.52,2080
-3.83,2080
7.48,2080
-13.58,2080
-0.87,2080
5.79,2080
-14.52,2080
-8.32,2080
-14.52,2080
-1.52,2080
-14.52,2080
5.79,2080
5.79,2080
-14.52,2080
8.97,2080
-13.58,2080
7.48,2080
2.00,2080
0.02,2080
5.79,2080
-1.52,2080
2.61,2080
-14.52,2080
-13.58,2080
-17.41,2080
-17.41,2080
-17.41,2080
